timestamp,error_pitch,error_roll,error_yaw,p_pitch,p_roll,p_yaw,i_pitch,i_roll,i_yaw,d_pitch,d_roll,d_yaw,sum_pitch,sum_roll,sum_yaw
1752497132124314540,0.0,0.0,0.0,3.7258849143981934,1.7446845769882202,558.3162841796875,-0.11837327480316162,0.2090153992176056,0.0,0.0,-0.0,0.0,-3.607511520385742,1.9536999464035034,558.3162841796875
1752497132141067082,0.0,0.0,0.0,3.7833807468414307,1.0347449779510498,558.5376586914062,-0.11770215630531311,0.2092648595571518,0.0,-0.0,-0.0,0.0,-3.6656785011291504,1.2440098524093628,558.5376586914062
1752497132164432082,0.0,0.0,0.0,3.4083411693573,1.1501296758651733,558.7730102539062,-0.1170322522521019,0.20946671068668365,0.0,-0.0,0.0,0.0,-3.291308879852295,1.3595963716506958,558.7730102539062
1752497132185526415,0.0,0.0,0.0,3.6195104122161865,1.3105124235153198,559.0077514648438,-0.11640874296426773,0.20968234539031982,0.0,0.0,0.0,0.0,-3.5031015872955322,1.5201947689056396,559.0077514648438
1752497132203030623,0.0,0.0,0.0,3.7507269382476807,0.7423069477081299,559.239013671875,-0.11575724929571152,0.20986388623714447,0.0,-0.0,-0.0,0.0,-3.634969711303711,0.9521708488464355,559.239013671875
1752497132226174498,0.0,0.0,0.0,3.324488878250122,0.48670998215675354,559.47705078125,-0.11513059586286545,0.2099541425704956,0.0,-0.0,0.0,0.0,-3.2093582153320312,0.6966640949249268,559.47705078125
1752497132246145665,0.0,0.0,0.0,3.343249559402466,0.4319179058074951,559.71875,-0.11450666189193726,0.21001498401165009,0.0,-0.0,0.0,0.0,-3.228742837905884,0.6419329047203064,559.71875
1752497132269896873,0.0,0.0,0.0,3.266448974609375,0.6536281108856201,559.9674682617188,-0.1138751283288002,0.21012268960475922,0.0,-0.0,-0.0,0.0,-3.152573823928833,0.8637508153915405,559.9674682617188
1752497132290271832,0.0,0.0,0.0,3.4158482551574707,0.30206695199012756,560.2131958007812,-0.11328186094760895,0.2102004587650299,0.0,0.0,-0.0,0.0,-3.3025662899017334,0.5122674107551575,560.2131958007812
1752497132347898374,0.0,0.0,0.0,3.8042430877685547,0.40184032917022705,560.4525756835938,-0.11263768374919891,0.21025793254375458,0.0,0.0,0.0,0.0,-3.69160532951355,0.6120982766151428,560.4525756835938
1752497132355311165,0.0,0.0,0.0,3.5739779472351074,0.2458464652299881,560.6925659179688,-0.11194664984941483,0.2103259116411209,0.0,-0.0,-0.0,0.0,-3.462031364440918,0.456172376871109,560.6925659179688
1752497132359292665,0.0,0.0,0.0,3.6057190895080566,0.4320015609264374,560.9331665039062,-0.11132053285837173,0.2104022353887558,0.0,0.0,-0.0,0.0,-3.494398593902588,0.642403781414032,560.9331665039062
1752497132465294707,0.0,0.0,0.0,3.8243515491485596,-0.3619614541530609,561.413330078125,-0.10998699814081192,0.21045371890068054,0.0,0.0,-0.0,0.0,-3.714364528656006,-0.15150773525238037,561.413330078125
1752497132495035040,0.0,0.0,0.0,2.964277982711792,-0.42966926097869873,562.4309692382812,-0.10757561773061752,0.21006575226783752,0.0,-0.0,-0.0,0.0,-2.8567023277282715,-0.2196035087108612,562.4309692382812
