timestamp,layout.data_offset,data[0],data[1],data[2]
1752497239754221498,0.0,0.0,0.0,0.0
1752497239773957165,0.0,0.0,0.0,0.0
1752497239794395165,0.0,0.0,0.0,0.0
1752497239818086707,0.0,0.0,0.0,0.0
1752497239837986915,0.0,0.0,0.0,0.0
1752497239874116082,0.0,0.0,0.0,0.0
1752497239881919248,0.0,0.0,0.0,0.0
1752497239902372790,0.0,0.0,0.0,0.0
1752497239923282373,0.0,0.0,0.0,0.0
1752497239945755915,0.0,0.0,0.0,0.0
1752497239968022332,0.0,0.0,0.0,0.0
1752497239987426415,0.0,0.0,0.0,0.0
1752497240007252707,0.0,0.0,0.0,0.0
1752497240027643082,0.0,0.0,0.0,0.0
1752497240049164915,0.0,0.0,0.0,0.0
1752497240074304082,0.0,0.0,0.0,0.0
1752497240096108999,0.0,0.0,0.0,0.0
1752497240118053790,0.0,0.0,0.0,0.0
1752497240154572582,0.0,0.0,0.0,0.0
1752497240158202874,0.0,0.0,0.0,0.0
1752497240181424873,0.0,0.0,0.0,0.0
1752497240203888290,0.0,0.0,0.0,0.0
1752497240223227248,0.0,0.0,0.0,0.0
1752497240244213665,0.0,0.0,0.0,0.0
1752497240266780290,0.0,0.0,0.0,0.0
1752497240288018998,0.0,0.0,0.0,0.0
1752497240310053915,0.0,0.0,0.0,0.0
1752497240331592123,0.0,0.0,0.0,0.0
1752497240360089915,0.0,0.0,0.0,0.0
1752497240371581707,0.0,0.0,0.0,0.0
1752497240466160248,0.0,0.0,0.0,0.0
1752497240472764248,0.0,0.0,0.0,0.0
1752497240473677290,0.0,0.0,0.0,0.0
1752497240477654499,0.0,0.0,0.0,0.0
1752497240479431749,0.0,0.0,0.0,0.0
1752497240502431332,0.0,0.0,0.0,0.0
1752497240544037790,0.0,0.0,0.0,0.0
1752497240545428999,0.0,0.0,0.0,0.0
1752497240561666165,0.0,0.0,0.0,0.0
1752497240582555498,0.0,0.0,0.0,0.0
1752497240608845207,0.0,0.0,0.0,0.0
